id,speaker,text,portraitId,isPlayer
momo_1,모모,"아 왔다아~! 보고 싶었어어~",momo,false
momo_2,모모,"오늘은 뭐 했어어? 나는 막 하루종일 너 기다렸지롱~",momo,false
momo_3,모모,"있잖아아, 다음에 같이 산책 가자아~ 응? 응응?",momo,false
ryua_1,류아,"...",ryua,false
ryua_2,류아,"...왜 또 왔어. 별로 반갑지도 않은데.",ryua,false
ryua_3,류아,"...뭘 그렇게 봐. 너야말로 어디 갈 데 없어?",ryua,false
rena_1,레나,"왔어어어!! 오늘도 안녕! 잘 잤어?!",rena,false
rena_2,레나,"내가 어제 말이야! 진짜 엄청 큰 거 발견했거든?! ...어 뭐였더라?",rena,false
rena_3,레나,"야야! 같이 뭐 좀 하자! 가만히 있으면 심심하잖아!!",rena,false
mizuki_1,미즈키,"왔구나. 오늘 컨디션은 괜찮아?",mizuki,false
mizuki_2,미즈키,"무리하지 말고 잘 쉬어. 너 어제 좀 피곤해 보였어.",mizuki,false
mizuki_3,미즈키,"괜찮아. 천천히 가도 돼. 내가 옆에 있을게.",mizuki,false
aiby_1,아이비,"어, 어어! 깜짝이야... 갑자기 오면 놀라잖아.",aiby,false
aiby_2,아이비,"...아, 안녕. 오, 오늘은 뭐 하러 왔어...?",aiby,false
aiby_3,아이비,"그, 그냥 나는 여기 있을게. 너는 너 할 일 해.",aiby,false
grunvar_intro_1,나,"(기분 탓인가? 저 멀리 보이는 게... 어쩐지 마음에 걸려)",khi_neutral,true
grunvar_intro_2,잊힌 왕 그룬바르,"드디어 왔구나, 잃어버린 자여.",grunvar,false
grunvar_intro_3,잊힌 왕 그룬바르,"네 기억은 이 던전 속에 흩어져 있다. 되찾을 자격이 있는지 보여봐라.",grunvar,false
grunvar_intro_4,나,"...너는 누구지? 왜 나를 알고 있어?",khi_alert,true
grunvar_intro_5,잊힌 왕 그룬바르,"곧 알게 될 것이다. 살아남는다면.",grunvar,false
