so_name,icon
노련한 검술서,무공서
강철 손목보호대,아대
서리 검집,검집
사냥꾼의 표적,과녁
빙결 부적,얼음부적
번개 인장,번개양피지
정조준 화살촉,활
깃털 활시위,깃털끈
가죽 신발,가죽신발
적중의 망원경,현미경
댄서의 발,파란구두
서리 화살통,화살통
번개 시위,번개끈
단단한 주먹,건틀릿
빙결 권갑,얼음건틀릿
정전기 띠,건틀릿번개
마법서 첫장,마도서_파랑
바람의 룬,마법석판
광역 룬,마법석판2
화염 부적,불부적
늙은 마법사의 지팡이,지팡이
시간의 종말,태양보석
분홍 리본,분홍리본
별 모양 단추,별모양주화
얼음 결정,등껍질
바람의 깃털,마법깃털
변신 거울,마법거울
회전 마법봉,스태프
합체 부적,불물패
우정의 증표,핑크펜더느
바람의 약속,마법편지
마법소녀 합체석,핑크리본2
거북이 등딱지,거북이 등껍질
비단 천,옷감
황혼의 갑옷,갑옷2
수호자의 토대,방패
네잎 클로버,네잎클로버
황금 동전,황금동전
부의 부적,황금명패
부의 신탁,황금패
황금의 운,황금메달
운명의 카드,포춘쿠키
점쟁이의 수정구,황금부적
마법학자의 갑옷,갑옷
방어 룬,마법양피지
빛의 미소녀,노란미소녀
질풍장화,고급가죽신발
랜덤박스,보물상자
시공의파편,시공의폭풍
추적자의망토,가죽망토
잔상의목걸이,번개목걸이
