ID,Name,Theme,Rarity,TagPrimary,TagSecondary,SizeX,SizeY,Effect1Type,Effect1Mag,Effect2Type,Effect2Mag,Description
1,노련한 검술서,Swordsman,Common,AttackSpeed,Critical,1,1,AttackSpeedPercent,0.05,CriticalChancePercent,0.05,공속 +5% / 치명타 +5%
2,강철 손목보호대,Swordsman,Common,AttackSpeed,AttackPower,1,1,AttackSpeedPercent,0.05,AttackPowerPercent,0.10,공속 +5% / 평타 +10%
3,서리 검집,Swordsman,Common,AttackSpeed,Ice,1,1,AttackSpeedPercent,0.05,SlowOnHit,0.05,공속 +5% / 얼음 슬로우 강화
4,정전기 검 손잡이,Swordsman,Common,AttackSpeed,Lightning,1,1,AttackSpeedPercent,0.05,ChainOnHit,0.10,공속 +5% / 전기 체인 +10%
5,사냥꾼의 표적,Swordsman,Rare,Critical,AttackPower,1,2,CriticalChancePercent,0.15,AttackPowerPercent,0.25,치명타 +15% / 평타 +25%
6,빙결 부적,Swordsman,Rare,Critical,Ice,1,2,CriticalChancePercent,0.15,FreezeOnHit,0.5,치명타 +15% / 빙결 시간 +0.5s
7,번개 인장,Swordsman,Rare,Critical,Lightning,1,2,CriticalChancePercent,0.15,ChainOnHit,1.0,치명타 +15% / 체인 +1회
8,빙어 비늘,Swordsman,Common,AttackPower,Ice,1,1,AttackPowerPercent,0.10,FreezeOnHit,0.05,평타 +10% / 빙결 확률 +5%
9,폭풍의 검,Swordsman,Legendary,Ice,Lightning,2,2,SlowOnHit,1.00,ChainOnHit,1.00,얼음·전기 동시 트리거 +100% (전설)
10,정조준 화살촉,Archer,Common,AttackSpeed,Critical,1,1,AttackSpeedPercent,0.05,CriticalChancePercent,0.05,공속 +5% / 치명타 +5%
11,깃털 활시위,Archer,Common,AttackSpeed,Range,1,1,AttackSpeedPercent,0.05,AttackRangePercent,0.10,공속 +5% / 사거리 +10%
12,가죽 신발,Archer,Common,AttackSpeed,Dodge,1,1,AttackSpeedPercent,0.05,DodgeChancePercent,0.02,공속 +5% / 회피 +2%
13,적중의 망원경,Archer,Rare,Critical,Range,1,2,CriticalChancePercent,0.15,AttackRangePercent,0.25,치명타 +15% / 사거리 +25%
14,댄서의 발,Archer,Common,Critical,Dodge,1,1,CriticalChancePercent,0.05,DodgeChancePercent,0.02,치명타 +5% / 회피 +2%
15,숨겨진 오솔길,Archer,Common,Range,Dodge,1,1,AttackRangePercent,0.10,DodgeChancePercent,0.02,사거리 +10% / 회피 +2%
16,서리 화살통,Archer,Common,AttackSpeed,Ice,1,1,AttackSpeedPercent,0.05,SlowOnHit,0.10,공속 +5% / 얼음 +10%
17,번개 시위,Archer,Common,AttackSpeed,Lightning,1,1,AttackSpeedPercent,0.05,ChainOnHit,0.10,공속 +5% / 전기 +10%
18,천둥의 눈,Archer,Unique,Critical,Lightning,2,2,CriticalChancePercent,0.50,ChainOnHit,0.50,치명타 +50% / 전기 +50%
19,단단한 주먹,Brawler,Common,AttackPower,Health,1,1,AttackPowerPercent,0.10,MaxHealthPercent,0.10,평타 +10% / 체력 +10%
20,회피 자세,Brawler,Common,AttackPower,Dodge,1,1,AttackPowerPercent,0.10,DodgeChancePercent,0.02,평타 +10% / 회피 +2%
21,산악인의 외피,Brawler,Common,Health,Dodge,1,1,MaxHealthPercent,0.15,DodgeChancePercent,0.02,체력 +15% / 회피 +2%
22,빙결 권갑,Brawler,Common,AttackPower,Ice,1,1,AttackPowerPercent,0.10,FreezeOnHit,0.5,평타 +10% / 빙결 +0.5s
23,정전기 띠,Brawler,Common,AttackPower,Lightning,1,1,AttackPowerPercent,0.10,ChainOnHit,0.10,평타 +10% / 전기 +10%
24,차가운 심장,Brawler,Rare,Health,Ice,1,2,MaxHealthPercent,0.25,SlowOnHit,0.05,체력 +25% / 슬로우 강화
25,폭풍권,Brawler,Unique,AttackPower,Dodge,2,2,AttackPowerPercent,0.50,DodgeChancePercent,0.10,평타 +50% / 회피 +10%
26,마법서 첫장,Mage,Common,Cooldown,Fire,1,1,CooldownReductionPercent,0.05,BurnOnHit,0.10,쿨감 +5% / 불 +10%
27,바람의 룬,Mage,Common,Cooldown,Wind,1,1,CooldownReductionPercent,0.05,WindAOE,0.10,쿨감 +5% / 바람 +10%
28,광역 룬,Mage,Common,Cooldown,Range,1,1,CooldownReductionPercent,0.05,AttackRangePercent,0.10,쿨감 +5% / 범위 +10%
29,화염 부적,Mage,Common,Fire,Range,1,1,BurnOnHit,0.10,AttackRangePercent,0.10,불 +10% / 범위 +10%
30,폭풍 부적,Mage,Common,Wind,Range,1,1,WindAOE,0.10,AttackRangePercent,0.10,바람 +10% / 범위 +10%
31,시간의 모래,Mage,Rare,Cooldown,Fire,1,2,CooldownReductionPercent,0.15,BurnOnHit,0.25,쿨감 +15% / 불 +25%
32,화염 폭풍,Mage,Rare,Fire,Wind,1,2,BurnOnHit,0.25,WindAOE,0.25,불·바람 동시 +25%
33,마법사의 노트,Mage,Common,Cooldown,Range,1,1,CooldownReductionPercent,0.05,AttackRangePercent,0.10,쿨감 +5% / 범위 +10%
34,늙은 마법사의 지팡이,Mage,Rare,Cooldown,Range,1,2,CooldownReductionPercent,0.15,AttackRangePercent,0.25,쿨감 +15% / 범위 +25%
35,폭풍의 부름,Mage,Legendary,Wind,Range,2,2,WindAOE,1.00,AttackRangePercent,0.50,바람 +100% / 범위 +50% (전설)
36,시간의 종말,Mage,Legendary,Cooldown,Fire,2,2,CooldownReductionPercent,0.50,BurnOnHit,1.00,쿨감 +50% / 불 +100% (전설)
37,분홍 리본,MagicalGirl,Common,MagicalGirl,Range,1,1,MagicalGirlSummon,1.0,AttackRangePercent,0.10,미소녀 +1 / 범위 +10%
38,별 모양 단추,MagicalGirl,Common,MagicalGirl,Fire,1,1,MagicalGirlElementalAttack,1.0,None,0,화염 공격
39,얼음 결정,MagicalGirl,Common,MagicalGirl,Ice,1,1,MagicalGirlElementalAttack,1.0,None,0,얼음 공격
40,전기 안경,MagicalGirl,Common,MagicalGirl,Lightning,1,1,MagicalGirlElementalAttack,1.0,None,0,전기 공격
41,바람의 깃털,MagicalGirl,Common,MagicalGirl,Wind,1,1,MagicalGirlElementalAttack,1.0,None,0,바람 공격
42,변신 거울,MagicalGirl,Rare,Fire,Ice,1,2,BurnOnHit,0.25,SlowOnHit,0.25,불·얼음 동시 +25%
43,회전 마법봉,MagicalGirl,Rare,Lightning,Wind,1,2,ChainOnHit,0.25,WindAOE,0.25,전기·바람 동시 +25%
44,마법진,MagicalGirl,Rare,MagicalGirl,Range,1,2,MagicalGirlSummon,1.0,AttackRangePercent,0.25,미소녀 +1 / 범위 +25%
45,합체 부적,MagicalGirl,Unique,MagicalGirl,Fire,2,2,MagicalGirlElementalEnhanced,1.0,None,0,강화 화염 공격
46,우정의 증표,MagicalGirl,Unique,MagicalGirl,Range,2,2,MagicalGirlSummon,2.0,AttackRangePercent,0.50,미소녀 +2 / 범위 +50%
47,바람의 약속,MagicalGirl,Rare,MagicalGirl,Wind,1,2,MagicalGirlElementalEnhanced,1.0,None,0,강화 바람 공격
48,마법소녀 합체석,MagicalGirl,Legendary,MagicalGirl,Range,2,2,MagicalGirlSummon,2.0,AttackRangePercent,1.00,미소녀 +2 (합체 가속) / 범위 +100% (전설)
49,거북이 등딱지,Guardian,Common,Health,Defense,1,1,MaxHealthPercent,0.10,DefenseFlat,1.0,체력 +10% / 방어 +1
50,비단 천,Guardian,Common,Health,Dodge,1,1,MaxHealthPercent,0.10,DodgeChancePercent,0.02,체력 +10% / 회피 +2%
51,황혼의 갑옷,Guardian,Common,Defense,Dodge,1,1,DefenseFlat,1.0,DodgeChancePercent,0.02,방어 +1 / 회피 +2%
52,수호자의 토대,Guardian,Rare,Health,Defense,1,2,MaxHealthPercent,0.25,DefenseFlat,3.0,체력 +25% / 방어 +3
53,신성한 보호,Guardian,Unique,Defense,Dodge,2,2,DefenseFlat,5.0,DodgeChancePercent,0.10,방어 +5 / 회피 +10%
54,네잎 클로버,Fortune,Common,Luck,Greed,1,1,LuckPoints,1.0,GoldGainPercent,0.10,행운 +1 / 골드 +10%
55,황금 동전,Fortune,Common,Luck,Greed,1,1,LuckPoints,1.0,GoldGainPercent,0.10,행운 +1 / 골드 +10%
56,부의 부적,Fortune,Common,Luck,Greed,1,1,LuckPoints,1.0,GoldGainPercent,0.15,행운 +1 / 골드 +15%
57,타로 카드 별,Fortune,Common,Luck,Tarot,1,1,LuckPoints,1.0,TarotProc,0.05,행운 +1 / 타로 +5%
58,점성술사의 별자리,Fortune,Common,Luck,Tarot,1,1,LuckPoints,1.0,TarotProc,0.10,행운 +1 / 타로 효과 +10%
59,부의 신탁,Fortune,Common,Greed,Tarot,1,1,GoldGainPercent,0.10,TarotProc,0.05,골드 +10% / 타로 +5%
